"Category","Check","Target","Status","Severity","Message","Recommendation"
"Replication","Replication Partner","DCFAB21.fabrikam.com","Healthy","Info","Replication completed successfully.",""
"Replication","Replication Partner","DCRET20.retail.fabrikam.com","Healthy","Info","Replication completed successfully.",""
"Replication","Replication Partner","DCRET21.retail.fabrikam.com","Healthy","Info","Replication completed successfully.",""
"Replication","Replication Partner","DCRET22.retail.fabrikam.com","Healthy","Info","Replication completed successfully.",""
"Replication","Replication Partner","DCTRE20.treasury.fabrikam.com","Healthy","Info","Replication completed successfully.",""
"Replication","Replication Partner","DCTRE21.treasury.fabrikam.com","Healthy","Info","Replication completed successfully.",""
"Replication","Replication Partner","DCBR20.branches.fabrikam.com","Healthy","Info","Replication completed successfully.",""
"Replication","Replication Partner","DCBR21.branches.fabrikam.com","Healthy","Info","Replication completed successfully.",""
"Replication","Replication Partner","DCBR22.branches.fabrikam.com","Healthy","Info","Replication completed successfully.",""
"Replication","Replication Partner","DCBR23.branches.fabrikam.com","Critical","High","Replication failed. Error code: 1722","Investigate Active Directory replication for this partner. RPC server unavailable - check network path and firewall rules to Hub-Central."
"Replication","Domain Controller Reachability","DCBR24.branches.fabrikam.com","Warning","Medium","Unable to retrieve replication metadata.","Verify connectivity, AD Web Services and Domain Controller availability. DC was intentionally offline for maintenance during this assessment window."
