"Category","Check","Target","Status","Severity","Message","Recommendation"
"EventLog","Directory Service Log (last 24h)","DCFAB20.fabrikam.com","Healthy","Info","No Critical or Error events found.",""
"EventLog","Directory Service Log (last 24h)","DCFAB21.fabrikam.com","Healthy","Info","No Critical or Error events found.",""
"EventLog","Directory Service Log (last 24h)","DCRET20.retail.fabrikam.com","Healthy","Info","No Critical or Error events found.",""
"EventLog","Directory Service Log (last 24h)","DCRET21.retail.fabrikam.com","Healthy","Info","No Critical or Error events found.",""
"EventLog","Directory Service Log (last 24h)","DCRET22.retail.fabrikam.com","Healthy","Info","No Critical or Error events found.",""
"EventLog","Directory Service Log (last 24h)","DCTRE20.treasury.fabrikam.com","Healthy","Info","No Critical or Error events found.",""
"EventLog","Directory Service Log (last 24h)","DCTRE21.treasury.fabrikam.com","Healthy","Info","No Critical or Error events found.",""
"EventLog","Directory Service Log (last 24h)","DCBR20.branches.fabrikam.com","Healthy","Info","No Critical or Error events found.",""
"EventLog","Directory Service Log (last 24h)","DCBR21.branches.fabrikam.com","Healthy","Info","No Critical or Error events found.",""
"EventLog","Directory Service Log (last 24h)","DCBR22.branches.fabrikam.com","Healthy","Info","No Critical or Error events found.",""
"EventLog","Directory Service Log (last 24h)","DCBR23.branches.fabrikam.com","Critical","High","14 Error events (Event ID 1925 - NTDS Replication) in the last 24 hours.","Correlates with the open replication failure on this DC. Resolve connectivity before it generates further Directory Service errors."
"EventLog","DFS Replication Log (last 24h)","DCBR23.branches.fabrikam.com","Warning","Medium","3 Warning events (Event ID 2213 - Backlog threshold) in the last 24 hours.","Expected while the underlying replication issue is unresolved; re-check after remediation."
"EventLog","Directory Service Log (last 24h)","DCBR24.branches.fabrikam.com","Skipped","Info","DC intentionally offline for maintenance during this assessment window.","Re-run this check once DCBR24 is back online."
