"Category","Check","Target","Status","Severity","Message","Recommendation"
"ServerConfig","Operating System Version","DCFAB20.fabrikam.com","Warning","Low","Windows Server 2016 Standard - eligible for in-place retirement.","Schedule replacement with a Windows Server 2022 Domain Controller as part of this migration."
"ServerConfig","Operating System Version","DCFAB21.fabrikam.com","Warning","Low","Windows Server 2016 Standard - eligible for in-place retirement.","Schedule replacement with a Windows Server 2022 Domain Controller as part of this migration."
"ServerConfig","Operating System Version","DCRET20.retail.fabrikam.com","Warning","Low","Windows Server 2016 Standard - eligible for in-place retirement.","Schedule replacement with a Windows Server 2022 Domain Controller as part of this migration."
"ServerConfig","Operating System Version","DCRET21.retail.fabrikam.com","Warning","Low","Windows Server 2016 Standard - eligible for in-place retirement.","Schedule replacement with a Windows Server 2022 Domain Controller as part of this migration."
"ServerConfig","Operating System Version","DCRET22.retail.fabrikam.com","Warning","Low","Windows Server 2016 Standard - eligible for in-place retirement.","Schedule replacement with a Windows Server 2022 Domain Controller as part of this migration."
"ServerConfig","Operating System Version","DCTRE20.treasury.fabrikam.com","Warning","Low","Windows Server 2016 Standard - eligible for in-place retirement.","Schedule replacement with a Windows Server 2022 Domain Controller as part of this migration."
"ServerConfig","Operating System Version","DCTRE21.treasury.fabrikam.com","Warning","Low","Windows Server 2016 Standard - eligible for in-place retirement.","Schedule replacement with a Windows Server 2022 Domain Controller as part of this migration."
"ServerConfig","Operating System Version","DCBR20.branches.fabrikam.com","Warning","Low","Windows Server 2016 Standard - eligible for in-place retirement.","Schedule replacement with a Windows Server 2022 Domain Controller as part of this migration."
"ServerConfig","Operating System Version","DCBR21.branches.fabrikam.com","Warning","Low","Windows Server 2016 Standard - eligible for in-place retirement.","Schedule replacement with a Windows Server 2022 Domain Controller as part of this migration."
"ServerConfig","Operating System Version","DCBR22.branches.fabrikam.com","Warning","Low","Windows Server 2016 Standard - eligible for in-place retirement.","Schedule replacement with a Windows Server 2022 Domain Controller as part of this migration."
"ServerConfig","Operating System Version","DCBR23.branches.fabrikam.com","Warning","Low","Windows Server 2016 Standard - eligible for in-place retirement.","Schedule replacement with a Windows Server 2022 Domain Controller as part of this migration."
"ServerConfig","Operating System Version","DCBR24.branches.fabrikam.com","Skipped","Info","DC intentionally offline for maintenance during this assessment window.","Re-run this check once DCBR24 is back online."
"ServerConfig","System Drive Free Space","DCTRE20.treasury.fabrikam.com","Critical","High","Only 6% free space on C:\\ (NTDS/logs volume).","Free up disk space or extend the volume immediately; low disk space risks database corruption and prevents safe DIT maintenance during migration."
"ServerConfig","System Drive Free Space","DCBR22.branches.fabrikam.com","Warning","Medium","18% free space on C:\\.","Monitor and plan cleanup before promoting this branch's replacement Windows Server 2022 DC."
