"Category","Check","Target","Status","Severity","Message","Recommendation"
"GroupPolicy","GPO Version Consistency","Default Domain Policy (fabrikam.com)","Healthy","Info","SYSVOL version matches Active Directory version.",""
"GroupPolicy","GPO Version Consistency","Default Domain Controllers Policy (fabrikam.com)","Healthy","Info","SYSVOL version matches Active Directory version.",""
"GroupPolicy","GPO Version Consistency","Corp Password Policy (fabrikam.com)","Healthy","Info","SYSVOL version matches Active Directory version.",""
"GroupPolicy","GPO Version Consistency","Default Domain Policy (retail.fabrikam.com)","Healthy","Info","SYSVOL version matches Active Directory version.",""
"GroupPolicy","GPO Version Consistency","Default Domain Controllers Policy (retail.fabrikam.com)","Healthy","Info","SYSVOL version matches Active Directory version.",""
"GroupPolicy","GPO Version Consistency","Retail POS Lockdown (retail.fabrikam.com)","Healthy","Info","SYSVOL version matches Active Directory version.",""
"GroupPolicy","GPO Version Consistency","Default Domain Policy (treasury.fabrikam.com)","Healthy","Info","SYSVOL version matches Active Directory version.",""
"GroupPolicy","GPO Version Consistency","Default Domain Controllers Policy (treasury.fabrikam.com)","Healthy","Info","SYSVOL version matches Active Directory version.",""
"GroupPolicy","GPO Version Consistency","Treasury Workstation Hardening (treasury.fabrikam.com)","Healthy","Info","SYSVOL version matches Active Directory version.",""
"GroupPolicy","GPO Version Consistency","Default Domain Policy (branches.fabrikam.com)","Healthy","Info","SYSVOL version matches Active Directory version.",""
"GroupPolicy","GPO Version Consistency","Default Domain Controllers Policy (branches.fabrikam.com)","Healthy","Info","SYSVOL version matches Active Directory version.",""
"GroupPolicy","GPO Version Consistency","Branch Printer Deployment (branches.fabrikam.com)","Warning","Medium","AD version (24) is ahead of SYSVOL version (21) - pending replication.","Confirm SYSVOL replication is not backlogged on branches.fabrikam.com; recheck after the FRS/DFSR migration is completed."
"GroupPolicy","Orphaned GPO","Old Terminal Services GPO 2011 (branches.fabrikam.com)","Warning","Low","GPO exists in SYSVOL and Active Directory but is not linked to any OU, domain or site.","Review with the branches team; remove if obsolete to reduce SYSVOL replication overhead and simplify the 2022 cutover."
