"Category","Check","Target","Status","Severity","Message","Recommendation"
"Security","SMBv1 Protocol","DCFAB20.fabrikam.com","Healthy","Info","SMBv1 is disabled.",""
"Security","SMBv1 Protocol","DCFAB21.fabrikam.com","Healthy","Info","SMBv1 is disabled.",""
"Security","SMBv1 Protocol","DCRET20.retail.fabrikam.com","Healthy","Info","SMBv1 is disabled.",""
"Security","SMBv1 Protocol","DCRET21.retail.fabrikam.com","Healthy","Info","SMBv1 is disabled.",""
"Security","SMBv1 Protocol","DCRET22.retail.fabrikam.com","Healthy","Info","SMBv1 is disabled.",""
"Security","SMBv1 Protocol","DCTRE20.treasury.fabrikam.com","Healthy","Info","SMBv1 is disabled.",""
"Security","SMBv1 Protocol","DCTRE21.treasury.fabrikam.com","Healthy","Info","SMBv1 is disabled.",""
"Security","SMBv1 Protocol","DCBR20.branches.fabrikam.com","Healthy","Info","SMBv1 is disabled.",""
"Security","SMBv1 Protocol","DCBR21.branches.fabrikam.com","Healthy","Info","SMBv1 is disabled.",""
"Security","SMBv1 Protocol","DCBR22.branches.fabrikam.com","Critical","High","SMBv1 protocol is still enabled.","Disable the FS-SMB1 Windows feature. SMBv1 is a known attack vector (WannaCry/EternalBlue) and must be removed before migrating this branch DC."
"Security","LAPS Deployment","Forest: fabrikam.com","Warning","Medium","The ms-Mcs-AdmPwd schema attribute was not found.","LAPS is not deployed. Deploy Local Administrator Password Solution before decommissioning legacy DCs to avoid re-using shared local admin passwords on new 2022 servers."
"Security","Privileged Account Hygiene","CN=Domain Admins,CN=Users,DC=fabrikam,DC=com","Warning","Medium","2 accounts in Domain Admins have PasswordNeverExpires enabled.","Review svc-legacy-backup and jdoe-adm accounts; rotate passwords and enable expiration or move service accounts to gMSA."
"Security","Kerberos Pre-Authentication","CN=svc-legacy-backup,...,DC=fabrikam,DC=com","Critical","High","Account does not require Kerberos pre-authentication (AS-REP roasting exposure).","Enable Kerberos pre-authentication for this account or replace it with a group Managed Service Account (gMSA)."
